Object,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,Th-MaStar,E-MaStar,E-MaStar,Conroy,Conroy
NGC5986_2015-07-10,1.160e+01 $\pm$ 1.075e+00,-1.775e+00 $\pm$ 2.544e-01,8.993e+00 $\pm$ 0.000e+00,-2.029e+00 $\pm$ 0.000e+00,7.043e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,7.088e+00 $\pm$ 2.709e+00,-2.029e+00 $\pm$ 0.000e+00,8.980e+00 $\pm$ 0.000e+00,-1.405e+00 $\pm$ 0.000e+00
NGC6093_2015-04-14,6.658e+00 $\pm$ 1.290e+00,-1.775e+00 $\pm$ 2.757e-01,9.296e+00 $\pm$ 0.000e+00,-1.408e+00 $\pm$ 0.000e+00,7.996e+00 $\pm$ 7.798e-01,-2.029e+00 $\pm$ 0.000e+00,5.798e+00 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,5.580e+00 $\pm$ 0.000e+00,-1.260e+00 $\pm$ 0.000e+00
NGC6121_2015-04-15,6.916e+00 $\pm$ 8.600e-02,-1.775e+00 $\pm$ 0.000e+00,9.426e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,6.003e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,3.562e+00 $\pm$ 2.795e+00,-1.332e+00 $\pm$ 0.000e+00,6.100e+00 $\pm$ 0.000e+00,-1.221e+00 $\pm$ 0.000e+00
NGC6139_2015-08-11,9.926e+00 $\pm$ 1.720e-01,-1.268e+00 $\pm$ 1.907e-01,5.014e-01 $\pm$ 0.000e+00,-6.771e-01 $\pm$ 0.000e+00,8.993e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,9.754e+00 $\pm$ 1.161e+00,-1.211e+00 $\pm$ 8.178e-01,1.282e+01 $\pm$ 0.000e+00,-1.466e+00 $\pm$ 0.000e+00
NGC6171_2015-07-09,1.152e+01 $\pm$ 1.935e+00,-9.172e-01 $\pm$ 5.039e-02,8.949e+00 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,2.927e+00 $\pm$ 1.733e-01,-7.259e-01 $\pm$ 1.755e-02,3.906e+00 $\pm$ 0.000e+00,-7.090e-01 $\pm$ 0.000e+00,9.980e+00 $\pm$ 0.000e+00,-8.609e-01 $\pm$ 0.000e+00
NGC6218_2015-07-09,5.540e+00 $\pm$ 2.580e-01,-1.332e+00 $\pm$ 0.000e+00,8.863e+00 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,8.776e+00 $\pm$ 4.029e+00,-1.117e+00 $\pm$ 6.577e-01,9.754e+00 $\pm$ 3.827e+00,-1.616e+00 $\pm$ 2.836e-01,1.250e+01 $\pm$ 8.000e-02,-1.093e+00 $\pm$ 2.107e-01
NGC6254_2015-04-13,5.884e+00 $\pm$ 2.752e+00,-1.775e+00 $\pm$ 0.000e+00,9.296e+00 $\pm$ 1.733e-01,-1.117e+00 $\pm$ 2.956e-01,1.155e+01 $\pm$ 0.000e+00,-1.408e+00 $\pm$ 0.000e+00,1.087e+01 $\pm$ 2.021e+00,-2.029e+00 $\pm$ 1.460e+00,6.980e+00 $\pm$ 2.400e-01,-1.121e+00 $\pm$ 3.445e-01
NGC6266_2015-08-09,3.347e+00 $\pm$ 1.591e+00,-8.007e-01 $\pm$ 2.051e-01,4.877e+00 $\pm$ 4.116e+00,-1.006e+00 $\pm$ 0.000e+00,8.863e+00 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,5.454e+00 $\pm$ 1.677e+00,-1.162e+00 $\pm$ 1.701e-01,6.980e+00 $\pm$ 0.000e+00,-9.934e-01 $\pm$ 0.000e+00
NGC6273_2015-08-10,1.083e+01 $\pm$ 2.881e+00,-2.029e+00 $\pm$ 0.000e+00,7.390e+00 $\pm$ 0.000e+00,-1.616e+00 $\pm$ 0.000e+00,1.268e+01 $\pm$ 0.000e+00,-1.211e+00 $\pm$ 0.000e+00,8.679e+00 $\pm$ 3.053e+00,-1.775e+00 $\pm$ 5.635e-01,1.010e+01 $\pm$ 1.120e+00,-1.405e+00 $\pm$ 0.000e+00
NGC6284_2016-09-29,1.281e+01 $\pm$ 1.978e+00,-1.408e+00 $\pm$ 7.564e-02,8.993e+00 $\pm$ 0.000e+00,-1.775e+00 $\pm$ 0.000e+00,8.993e+00 $\pm$ 0.000e+00,-1.332e+00 $\pm$ 0.000e+00,6.701e+00 $\pm$ 1.204e+00,-1.268e+00 $\pm$ 2.277e-01,5.660e+00 $\pm$ 0.000e+00,-1.121e+00 $\pm$ 0.000e+00
